[updated:2010-04-18]
p,r,c,p-r-c,jis,euc,sjis,ucs,utf-8,(ch)fyi
1,01,01,1-01-01,2121,a1a1,8140,3000,e38080,(　)
1,01,02,1-01-02,2122,a1a2,8141,3001,e38081,(、)
1,01,03,1-01-03,2123,a1a3,8142,3002,e38082,(。)
1,01,04,1-01-04,2124,a1a4,8143,ff0c,efbc8c,(，)[ascii:ucs-002c]
1,01,05,1-01-05,2125,a1a5,8144,ff0e,efbc8e,(．)[ascii:ucs-002e]
1,01,06,1-01-06,2126,a1a6,8145,30fb,e383bb,(・)
1,01,07,1-01-07,2127,a1a7,8146,ff1a,efbc9a,(：)[ascii:ucs-003a]
1,01,08,1-01-08,2128,a1a8,8147,ff1b,efbc9b,(；)[ascii:ucs-003b]
1,01,09,1-01-09,2129,a1a9,8148,ff1f,efbc9f,(？)[ascii:ucs-003f]
1,01,10,1-01-10,212a,a1aa,8149,ff01,efbc81,(！)[ascii:ucs-0021]
1,01,11,1-01-11,212b,a1ab,814a,309b,e3829b,(゛)
1,01,12,1-01-12,212c,a1ac,814b,309c,e3829c,(゜)
1,01,13,1-01-13,212d,a1ad,814c,00b4,c2b4,(´)
1,01,14,1-01-14,212e,a1ae,814d,ff40,efbd80,(｀)[ascii:ucs-0060]
1,01,15,1-01-15,212f,a1af,814e,00a8,c2a8,(¨)
1,01,16,1-01-16,2130,a1b0,814f,ff3e,efbcbe,(＾)[ascii:ucs-005e]
1,01,17,1-01-17,2131,a1b1,8150,ffe3,efbfa3,(￣)[winnt:ucs-ffe3]<m>
1,01,18,1-01-18,2132,a1b2,8151,ff3f,efbcbf,(＿)[ascii:ucs-005f]
1,01,19,1-01-19,2133,a1b3,8152,30fd,e383bd,(ヽ)
1,01,20,1-01-20,2134,a1b4,8153,30fe,e383be,(ヾ)
1,01,21,1-01-21,2135,a1b5,8154,309d,e3829d,(ゝ)
1,01,22,1-01-22,2136,a1b6,8155,309e,e3829e,(ゞ)
1,01,23,1-01-23,2137,a1b7,8156,3003,e38083,(〃)
1,01,24,1-01-24,2138,a1b8,8157,4edd,e4bb9d,(仝)
1,01,25,1-01-25,2139,a1b9,8158,3005,e38085,(々)
1,01,26,1-01-26,213a,a1ba,8159,3006,e38086,(〆)
1,01,27,1-01-27,213b,a1bb,815a,3007,e38087,(〇)
1,01,28,1-01-28,213c,a1bc,815b,30fc,e383bc,(ー)
1,01,29,1-01-29,213d,a1bd,815c,2014,e28094,(—)[winnt:ucs-2015]
1,01,30,1-01-30,213e,a1be,815d,2010,e28090,(‐)
1,01,31,1-01-31,213f,a1bf,815e,ff0f,efbc8f,(／)[ascii:ucs-002f]
1,01,32,1-01-32,2140,a1c0,815f,ff3c,efbcbc,(＼)[ascii:ucs-005c]
1,01,33,1-01-33,2141,a1c1,8160,301c,e3809c,(〜)[winnt:ucs-ff5e]
1,01,34,1-01-34,2142,a1c2,8161,2016,e28096,(‖)[winnt:ucs-2225]
1,01,35,1-01-35,2143,a1c3,8162,ff5c,efbd9c,(｜)[ascii:ucs-007c]
